station_name,latitude,longitude,phone,available_officers
Madiwala Traffic Police Station,12.9225,77.6215,+91 94808-01824,18
HSR Layout Traffic Police Station,12.9102,77.6412,+91 94808-01826,14
Koramangala Traffic Police Station,12.9332,77.6245,+91 94808-01828,22
BTM Layout Police Station,12.9154,77.6052,+91 94808-01830,11
Jayanagar Traffic Police Station,12.9282,77.5891,+91 94808-01832,15
Hebbal Traffic Police Station,13.0362,77.5975,+91 94808-01834,16
Peenya Traffic Police Station,13.0289,77.5358,+91 94808-01836,12
Indiranagar Traffic Police Station,12.9745,77.6385,+91 94808-01838,20
Halasuru Traffic Police Station,12.9778,77.6248,+91 94808-01840,15
Shivajinagar Traffic Police Station,12.9856,77.6035,+91 94808-01842,19
